Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
Valorant Champions 2025,2283,Playoffs,5080.0,Upper Quarterfinals,33667.0
Valorant Champions 2025,2283,Playoffs,5080.0,Upper Semifinals,33668.0
Valorant Champions 2025,2283,Playoffs,5080.0,Upper Final,33669.0
Valorant Champions 2025,2283,Playoffs,5080.0,Grand Final,33670.0
Valorant Champions 2025,2283,Playoffs,5080.0,Lower Round 1,33671.0
Valorant Champions 2025,2283,Playoffs,5080.0,Lower Round 2,33672.0
Valorant Champions 2025,2283,Playoffs,5080.0,Lower Round 3,33673.0
Valorant Champions 2025,2283,Playoffs,5080.0,Lower Final,33674.0
Valorant Champions 2025,2283,Group Stage,5079.0,Opening (A),33651.0
Valorant Champions 2025,2283,Group Stage,5079.0,Winner's (A),33652.0
Valorant Champions 2025,2283,Group Stage,5079.0,Elimination (A),33653.0
Valorant Champions 2025,2283,Group Stage,5079.0,Decider (A),33654.0
Valorant Champions 2025,2283,Group Stage,5079.0,Opening (B),33655.0
Valorant Champions 2025,2283,Group Stage,5079.0,Winner's (B),33656.0
Valorant Champions 2025,2283,Group Stage,5079.0,Elimination (B),33657.0
Valorant Champions 2025,2283,Group Stage,5079.0,Decider (B),33658.0
Valorant Champions 2025,2283,Group Stage,5079.0,Opening (C),33659.0
Valorant Champions 2025,2283,Group Stage,5079.0,Winner's (C),33660.0
Valorant Champions 2025,2283,Group Stage,5079.0,Elimination (C),33661.0
Valorant Champions 2025,2283,Group Stage,5079.0,Decider (C),33662.0
Valorant Champions 2025,2283,Group Stage,5079.0,Opening (D),33663.0
Valorant Champions 2025,2283,Group Stage,5079.0,Winner's (D),33664.0
Valorant Champions 2025,2283,Group Stage,5079.0,Elimination (D),33665.0
Valorant Champions 2025,2283,Group Stage,5079.0,Decider (D),33666.0
Valorant Champions 2025,2283,All Stages,,All Match Types,
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Upper Round 1,33336.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Upper Semifinals,33337.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Upper Final,33338.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Grand Final,33339.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Lower Round 1,33340.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Lower Round 2,33341.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Lower Round 3,33342.0
VCT 2025: Pacific Stage 2,2500,Playoffs,4862.0,Lower Final,33343.0
VCT 2025: Pacific Stage 2,2500,Group Stage,4858.0,Week 1,32273.0
VCT 2025: Pacific Stage 2,2500,Group Stage,4858.0,Week 2,32274.0
VCT 2025: Pacific Stage 2,2500,Group Stage,4858.0,Week 3,32275.0
VCT 2025: Pacific Stage 2,2500,Group Stage,4858.0,Week 4,32276.0
VCT 2025: Pacific Stage 2,2500,All Stages,,All Match Types,
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Upper Quarterfinals,33217.0
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Upper Semifinals,33218.0
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Upper Final,33219.0
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Grand Final,33220.0
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Lower Round 1,33221.0
VCT 2025: China Stage 2,2499,Playoffs,4863.0,Lower Round 2,33222.0
